genres,feature_1,feature_2,feature_pair,test_accuracy_k5,songs_per_genre
classical / hip-hop / pop,acousticness,liveness,acousticness + liveness,0.7247191011235955,889
classical / hip-hop / pop,danceability,instrumentalness,danceability + instrumentalness,0.7228464419475655,889
classical / hip-hop / pop,energy,acousticness,energy + acousticness,0.7116104868913857,889
classical / hip-hop / pop,speechiness,instrumentalness,speechiness + instrumentalness,0.7059925093632958,889
classical / hip-hop / pop,energy,speechiness,energy + speechiness,0.704119850187266,889
classical / hip-hop / pop,energy,liveness,energy + liveness,0.704119850187266,889
classical / hip-hop / pop,danceability,energy,danceability + energy,0.702247191011236,889
classical / hip-hop / pop,danceability,valence,danceability + valence,0.6928838951310862,889
classical / hip-hop / pop,energy,instrumentalness,energy + instrumentalness,0.6910112359550562,889
classical / hip-hop / pop,danceability,speechiness,danceability + speechiness,0.6910112359550562,889
classical / hip-hop / pop,energy,valence,energy + valence,0.6891385767790262,889
classical / hip-hop / pop,instrumentalness,valence,instrumentalness + valence,0.6704119850187266,889
classical / hip-hop / pop,danceability,liveness,danceability + liveness,0.649812734082397,889
classical / hip-hop / pop,instrumentalness,liveness,instrumentalness + liveness,0.6423220973782772,889
classical / hip-hop / pop,speechiness,valence,speechiness + valence,0.5786516853932584,889
classical / hip-hop / pop,speechiness,liveness,speechiness + liveness,0.548689138576779,889
classical / hip-hop / pop,liveness,valence,liveness + valence,0.5374531835205992,889
classical / disco / metal,danceability,acousticness,danceability + acousticness,0.8940754039497307,927
classical / disco / metal,acousticness,valence,acousticness + valence,0.8420107719928187,927
classical / disco / metal,danceability,energy,danceability + energy,0.8276481149012568,927
classical / disco / metal,acousticness,liveness,acousticness + liveness,0.7935368043087971,927
classical / disco / metal,acousticness,instrumentalness,acousticness + instrumentalness,0.7917414721723519,927
classical / disco / metal,energy,acousticness,energy + acousticness,0.7881508078994613,927
classical / disco / metal,energy,valence,energy + valence,0.7845601436265709,927
classical / disco / metal,speechiness,acousticness,speechiness + acousticness,0.7719928186714542,927
classical / disco / metal,danceability,instrumentalness,danceability + instrumentalness,0.7271095152603232,927
classical / disco / metal,energy,liveness,energy + liveness,0.6929982046678635,927
classical / disco / metal,danceability,speechiness,danceability + speechiness,0.6929982046678635,927
classical / disco / metal,energy,speechiness,energy + speechiness,0.6912028725314183,927
classical / disco / metal,energy,instrumentalness,energy + instrumentalness,0.6876122082585279,927
classical / disco / metal,instrumentalness,valence,instrumentalness + valence,0.6570915619389587,927
classical / disco / metal,danceability,valence,danceability + valence,0.6391382405745063,927
classical / disco / metal,danceability,liveness,danceability + liveness,0.6337522441651705,927
classical / disco / metal,speechiness,valence,speechiness + valence,0.5763016157989228,927
classical / disco / metal,speechiness,instrumentalness,speechiness + instrumentalness,0.5691202872531418,927
classical / disco / metal,instrumentalness,liveness,instrumentalness + liveness,0.5565529622980251,927
classical / disco / metal,liveness,valence,liveness + valence,0.5493716337522442,927
classical / disco / metal,speechiness,liveness,speechiness + liveness,0.5134649910233393,927
classical / country / hip-hop,speechiness,acousticness,speechiness + acousticness,0.8357142857142857,933
classical / country / hip-hop,danceability,acousticness,danceability + acousticness,0.8142857142857143,933
classical / country / hip-hop,danceability,instrumentalness,danceability + instrumentalness,0.8125,933
classical / country / hip-hop,speechiness,instrumentalness,speechiness + instrumentalness,0.7982142857142858,933
classical / country / hip-hop,energy,speechiness,energy + speechiness,0.7928571428571428,933
classical / country / hip-hop,danceability,speechiness,danceability + speechiness,0.775,933
classical / country / hip-hop,danceability,energy,danceability + energy,0.7714285714285715,933
classical / country / hip-hop,energy,acousticness,energy + acousticness,0.7678571428571429,933
classical / country / hip-hop,acousticness,instrumentalness,acousticness + instrumentalness,0.7553571428571428,933
classical / country / hip-hop,danceability,valence,danceability + valence,0.75,933
classical / country / hip-hop,acousticness,valence,acousticness + valence,0.7482142857142857,933
classical / country / hip-hop,danceability,liveness,danceability + liveness,0.7285714285714285,933
classical / country / hip-hop,energy,instrumentalness,energy + instrumentalness,0.7214285714285714,933
classical / country / hip-hop,acousticness,liveness,acousticness + liveness,0.7196428571428571,933
classical / country / hip-hop,speechiness,valence,speechiness + valence,0.7142857142857143,933
classical / country / hip-hop,energy,liveness,energy + liveness,0.7125,933
classical / country / hip-hop,energy,valence,energy + valence,0.7035714285714286,933
classical / country / hip-hop,speechiness,liveness,speechiness + liveness,0.6803571428571429,933
classical / country / hip-hop,instrumentalness,valence,instrumentalness + valence,0.6732142857142858,933
classical / country / hip-hop,instrumentalness,liveness,instrumentalness + liveness,0.6571428571428571,933
classical / country / hip-hop,liveness,valence,liveness + valence,0.5285714285714286,933
classical / country / rock,acousticness,liveness,acousticness + liveness,0.7785714285714286,933
classical / country / rock,danceability,acousticness,danceability + acousticness,0.7714285714285715,933
classical / country / rock,energy,acousticness,energy + acousticness,0.7625,933
classical / country / rock,speechiness,acousticness,speechiness + acousticness,0.7571428571428571,933
classical / country / rock,acousticness,instrumentalness,acousticness + instrumentalness,0.75,933
classical / country / rock,acousticness,valence,acousticness + valence,0.7464285714285714,933
classical / country / rock,energy,instrumentalness,energy + instrumentalness,0.7339285714285714,933
classical / country / rock,danceability,instrumentalness,danceability + instrumentalness,0.7285714285714285,933
classical / country / rock,speechiness,instrumentalness,speechiness + instrumentalness,0.7214285714285714,933
classical / country / rock,instrumentalness,liveness,instrumentalness + liveness,0.7214285714285714,933
classical / country / rock,energy,speechiness,energy + speechiness,0.7178571428571429,933
classical / country / rock,danceability,energy,danceability + energy,0.7142857142857143,933
classical / country / rock,energy,valence,energy + valence,0.7053571428571429,933
classical / country / rock,energy,liveness,energy + liveness,0.6982142857142857,933
classical / country / rock,instrumentalness,valence,instrumentalness + valence,0.6785714285714286,933
classical / country / rock,danceability,valence,danceability + valence,0.6571428571428571,933
classical / country / rock,danceability,speechiness,danceability + speechiness,0.65,933
classical / country / rock,danceability,liveness,danceability + liveness,0.6321428571428571,933
classical / country / rock,speechiness,valence,speechiness + valence,0.6178571428571429,933
classical / country / rock,speechiness,liveness,speechiness + liveness,0.5767857142857142,933
classical / country / rock,liveness,valence,liveness + valence,0.5535714285714286,933
acoustic / hip-hop / metal,danceability,acousticness,danceability + acousticness,0.7798319327731092,991
acoustic / hip-hop / metal,speechiness,acousticness,speechiness + acousticness,0.773109243697479,991
acoustic / hip-hop / metal,danceability,energy,danceability + energy,0.7596638655462185,991
acoustic / hip-hop / metal,acousticness,valence,acousticness + valence,0.7260504201680672,991
acoustic / hip-hop / metal,energy,acousticness,energy + acousticness,0.7260504201680672,991
acoustic / hip-hop / metal,acousticness,liveness,acousticness + liveness,0.7176470588235294,991
acoustic / hip-hop / metal,acousticness,instrumentalness,acousticness + instrumentalness,0.7159663865546219,991
acoustic / hip-hop / metal,energy,speechiness,energy + speechiness,0.7126050420168067,991
acoustic / hip-hop / metal,danceability,speechiness,danceability + speechiness,0.6991596638655462,991
acoustic / hip-hop / metal,energy,valence,energy + valence,0.6974789915966386,991
acoustic / hip-hop / metal,energy,instrumentalness,energy + instrumentalness,0.680672268907563,991
acoustic / hip-hop / metal,danceability,liveness,danceability + liveness,0.6672268907563025,991
acoustic / hip-hop / metal,energy,liveness,energy + liveness,0.6588235294117647,991
acoustic / hip-hop / metal,danceability,instrumentalness,danceability + instrumentalness,0.6386554621848739,991
acoustic / hip-hop / metal,danceability,valence,danceability + valence,0.6151260504201681,991
acoustic / hip-hop / metal,speechiness,instrumentalness,speechiness + instrumentalness,0.5949579831932773,991
acoustic / hip-hop / metal,speechiness,liveness,speechiness + liveness,0.5882352941176471,991
acoustic / hip-hop / metal,speechiness,valence,speechiness + valence,0.5747899159663865,991
acoustic / hip-hop / metal,instrumentalness,liveness,instrumentalness + liveness,0.5159663865546219,991
acoustic / hip-hop / metal,instrumentalness,valence,instrumentalness + valence,0.4957983193277311,991
acoustic / hip-hop / metal,liveness,valence,liveness + valence,0.4957983193277311,991
acoustic / hip-hop / rock,energy,speechiness,energy + speechiness,0.6947723440134908,987
acoustic / hip-hop / rock,danceability,acousticness,danceability + acousticness,0.688026981450253,987
acoustic / hip-hop / rock,danceability,energy,danceability + energy,0.6728499156829679,987
acoustic / hip-hop / rock,speechiness,acousticness,speechiness + acousticness,0.6728499156829679,987
acoustic / hip-hop / rock,danceability,speechiness,danceability + speechiness,0.6374367622259697,987
acoustic / hip-hop / rock,energy,acousticness,energy + acousticness,0.6306913996627319,987
acoustic / hip-hop / rock,danceability,liveness,danceability + liveness,0.627318718381113,987
acoustic / hip-hop / rock,speechiness,liveness,speechiness + liveness,0.627318718381113,987
acoustic / hip-hop / rock,danceability,valence,danceability + valence,0.6222596964586846,987
acoustic / hip-hop / rock,speechiness,valence,speechiness + valence,0.612141652613828,987
acoustic / hip-hop / rock,danceability,instrumentalness,danceability + instrumentalness,0.6003372681281619,987
acoustic / hip-hop / rock,energy,instrumentalness,energy + instrumentalness,0.596964586846543,987
acoustic / hip-hop / rock,energy,liveness,energy + liveness,0.5952782462057336,987
acoustic / hip-hop / rock,acousticness,liveness,acousticness + liveness,0.5935919055649241,987
acoustic / hip-hop / rock,energy,valence,energy + valence,0.5868465430016864,987
acoustic / hip-hop / rock,acousticness,valence,acousticness + valence,0.581787521079258,987
acoustic / hip-hop / rock,speechiness,instrumentalness,speechiness + instrumentalness,0.5767284991568297,987
acoustic / hip-hop / rock,acousticness,instrumentalness,acousticness + instrumentalness,0.5666104553119731,987
acoustic / hip-hop / rock,liveness,valence,liveness + valence,0.5261382799325464,987
acoustic / hip-hop / rock,instrumentalness,liveness,instrumentalness + liveness,0.5126475548060708,987
acoustic / hip-hop / rock,instrumentalness,valence,instrumentalness + valence,0.5126475548060708,987
acoustic / pop / rock,danceability,energy,danceability + energy,0.652542372881356,983
acoustic / pop / rock,energy,speechiness,energy + speechiness,0.6203389830508474,983
acoustic / pop / rock,speechiness,acousticness,speechiness + acousticness,0.6016949152542372,983
acoustic / pop / rock,energy,instrumentalness,energy + instrumentalness,0.5915254237288136,983
acoustic / pop / rock,danceability,acousticness,danceability + acousticness,0.5898305084745763,983
acoustic / pop / rock,energy,acousticness,energy + acousticness,0.5898305084745763,983
acoustic / pop / rock,acousticness,valence,acousticness + valence,0.5847457627118644,983
acoustic / pop / rock,energy,liveness,energy + liveness,0.5728813559322034,983
acoustic / pop / rock,acousticness,instrumentalness,acousticness + instrumentalness,0.5661016949152542,983
acoustic / pop / rock,energy,valence,energy + valence,0.5661016949152542,983
acoustic / pop / rock,danceability,speechiness,danceability + speechiness,0.5644067796610169,983
acoustic / pop / rock,acousticness,liveness,acousticness + liveness,0.559322033898305,983
acoustic / pop / rock,danceability,instrumentalness,danceability + instrumentalness,0.5542372881355933,983
acoustic / pop / rock,danceability,liveness,danceability + liveness,0.5423728813559322,983
acoustic / pop / rock,danceability,valence,danceability + valence,0.5406779661016949,983
acoustic / pop / rock,speechiness,instrumentalness,speechiness + instrumentalness,0.5372881355932203,983
acoustic / pop / rock,instrumentalness,valence,instrumentalness + valence,0.5338983050847458,983
acoustic / pop / rock,speechiness,liveness,speechiness + liveness,0.5322033898305085,983
acoustic / pop / rock,speechiness,valence,speechiness + valence,0.5271186440677966,983
acoustic / pop / rock,liveness,valence,liveness + valence,0.4966101694915254,983
acoustic / pop / rock,instrumentalness,liveness,instrumentalness + liveness,0.4864406779661017,983
acoustic / disco / metal,danceability,acousticness,danceability + acousticness,0.7796327212020033,998
acoustic / disco / metal,danceability,energy,danceability + energy,0.7512520868113522,998
acoustic / disco / metal,acousticness,valence,acousticness + valence,0.6944908180300501,998
acoustic / disco / metal,energy,valence,energy + valence,0.657762938230384,998
acoustic / disco / metal,acousticness,instrumentalness,acousticness + instrumentalness,0.6510851419031719,998
acoustic / disco / metal,speechiness,acousticness,speechiness + acousticness,0.6427378964941569,998
acoustic / disco / metal,energy,acousticness,energy + acousticness,0.6377295492487479,998
acoustic / disco / metal,danceability,speechiness,danceability + speechiness,0.6277128547579299,998
acoustic / disco / metal,acousticness,liveness,acousticness + liveness,0.6193656093489148,998
acoustic / disco / metal,danceability,valence,danceability + valence,0.6076794657762938,998
acoustic / disco / metal,danceability,liveness,danceability + liveness,0.6026711185308848,998
acoustic / disco / metal,energy,speechiness,energy + speechiness,0.5943238731218697,998
acoustic / disco / metal,energy,instrumentalness,energy + instrumentalness,0.5759599332220368,998
acoustic / disco / metal,energy,liveness,energy + liveness,0.5609348914858097,998
acoustic / disco / metal,speechiness,valence,speechiness + valence,0.5559265442404007,998
acoustic / disco / metal,danceability,instrumentalness,danceability + instrumentalness,0.5409015025041736,998
acoustic / disco / metal,liveness,valence,liveness + valence,0.5292153589315526,998
acoustic / disco / metal,instrumentalness,valence,instrumentalness + valence,0.5075125208681135,998
acoustic / disco / metal,speechiness,instrumentalness,speechiness + instrumentalness,0.49081803005008345,998
acoustic / disco / metal,speechiness,liveness,speechiness + liveness,0.48080133555926546,998
acoustic / disco / metal,instrumentalness,liveness,instrumentalness + liveness,0.44908180300500833,998
country / hip-hop / metal,danceability,acousticness,danceability + acousticness,0.7361344537815127,991
country / hip-hop / metal,danceability,energy,danceability + energy,0.7344537815126051,991
country / hip-hop / metal,energy,speechiness,energy + speechiness,0.7176470588235294,991
country / hip-hop / metal,danceability,speechiness,danceability + speechiness,0.7176470588235294,991
country / hip-hop / metal,speechiness,acousticness,speechiness + acousticness,0.7159663865546219,991
country / hip-hop / metal,energy,acousticness,energy + acousticness,0.7025210084033613,991
country / hip-hop / metal,speechiness,instrumentalness,speechiness + instrumentalness,0.6621848739495798,991
country / hip-hop / metal,acousticness,valence,acousticness + valence,0.6605042016806723,991
country / hip-hop / metal,danceability,valence,danceability + valence,0.6554621848739496,991
country / hip-hop / metal,danceability,instrumentalness,danceability + instrumentalness,0.6521008403361345,991
country / hip-hop / metal,danceability,liveness,danceability + liveness,0.6470588235294118,991
country / hip-hop / metal,acousticness,liveness,acousticness + liveness,0.6470588235294118,991
country / hip-hop / metal,acousticness,instrumentalness,acousticness + instrumentalness,0.6436974789915967,991
country / hip-hop / metal,energy,valence,energy + valence,0.6403361344537815,991
country / hip-hop / metal,energy,instrumentalness,energy + instrumentalness,0.6336134453781512,991
country / hip-hop / metal,speechiness,liveness,speechiness + liveness,0.6319327731092437,991
country / hip-hop / metal,energy,liveness,energy + liveness,0.6201680672268908,991
country / hip-hop / metal,speechiness,valence,speechiness + valence,0.6151260504201681,991
country / hip-hop / metal,liveness,valence,liveness + valence,0.5546218487394958,991
country / hip-hop / metal,instrumentalness,valence,instrumentalness + valence,0.5495798319327732,991
country / hip-hop / metal,instrumentalness,liveness,instrumentalness + liveness,0.4991596638655462,991
country / pop / rock,speechiness,acousticness,speechiness + acousticness,0.6195462478184991,954
country / pop / rock,danceability,acousticness,danceability + acousticness,0.6090750436300174,954
country / pop / rock,danceability,speechiness,danceability + speechiness,0.5968586387434555,954
country / pop / rock,acousticness,liveness,acousticness + liveness,0.5968586387434555,954
country / pop / rock,danceability,valence,danceability + valence,0.5968586387434555,954
country / pop / rock,energy,speechiness,energy + speechiness,0.5933682373472949,954
country / pop / rock,danceability,energy,danceability + energy,0.5916230366492147,954
country / pop / rock,speechiness,instrumentalness,speechiness + instrumentalness,0.5881326352530541,954
country / pop / rock,speechiness,valence,speechiness + valence,0.5724258289703316,954
country / pop / rock,speechiness,liveness,speechiness + liveness,0.5724258289703316,954
country / pop / rock,energy,valence,energy + valence,0.5724258289703316,954
country / pop / rock,danceability,instrumentalness,danceability + instrumentalness,0.568935427574171,954
country / pop / rock,energy,liveness,energy + liveness,0.5671902268760908,954
country / pop / rock,acousticness,valence,acousticness + valence,0.5671902268760908,954
country / pop / rock,danceability,liveness,danceability + liveness,0.5654450261780105,954
country / pop / rock,instrumentalness,liveness,instrumentalness + liveness,0.5619546247818499,954
country / pop / rock,energy,acousticness,energy + acousticness,0.5549738219895288,954
country / pop / rock,acousticness,instrumentalness,acousticness + instrumentalness,0.5410122164048866,954
country / pop / rock,energy,instrumentalness,energy + instrumentalness,0.5392670157068062,954
country / pop / rock,liveness,valence,liveness + valence,0.5270506108202443,954
country / pop / rock,instrumentalness,valence,instrumentalness + valence,0.5200698080279232,954
jazz / hip-hop / metal,danceability,acousticness,danceability + acousticness,0.8436974789915966,991
jazz / hip-hop / metal,danceability,energy,danceability + energy,0.8218487394957983,991
jazz / hip-hop / metal,energy,speechiness,energy + speechiness,0.8033613445378152,991
jazz / hip-hop / metal,energy,acousticness,energy + acousticness,0.8,991
jazz / hip-hop / metal,speechiness,acousticness,speechiness + acousticness,0.7915966386554621,991
jazz / hip-hop / metal,acousticness,instrumentalness,acousticness + instrumentalness,0.7915966386554621,991
jazz / hip-hop / metal,acousticness,valence,acousticness + valence,0.7815126050420168,991
jazz / hip-hop / metal,acousticness,liveness,acousticness + liveness,0.7697478991596639,991
jazz / hip-hop / metal,energy,valence,energy + valence,0.7680672268907563,991
jazz / hip-hop / metal,energy,instrumentalness,energy + instrumentalness,0.7596638655462185,991
jazz / hip-hop / metal,energy,liveness,energy + liveness,0.7361344537815127,991
jazz / hip-hop / metal,danceability,speechiness,danceability + speechiness,0.7310924369747899,991
jazz / hip-hop / metal,danceability,valence,danceability + valence,0.7310924369747899,991
jazz / hip-hop / metal,danceability,liveness,danceability + liveness,0.692436974789916,991
jazz / hip-hop / metal,danceability,instrumentalness,danceability + instrumentalness,0.6907563025210084,991
jazz / hip-hop / metal,speechiness,instrumentalness,speechiness + instrumentalness,0.6588235294117647,991
jazz / hip-hop / metal,speechiness,valence,speechiness + valence,0.6352941176470588,991
jazz / hip-hop / metal,speechiness,liveness,speechiness + liveness,0.5983193277310924,991
jazz / hip-hop / metal,instrumentalness,valence,instrumentalness + valence,0.5966386554621849,991
jazz / hip-hop / metal,liveness,valence,liveness + valence,0.5831932773109244,991
jazz / hip-hop / metal,instrumentalness,liveness,instrumentalness + liveness,0.5781512605042017,991
jazz / pop / rock,danceability,energy,danceability + energy,0.7043918918918919,986
jazz / pop / rock,speechiness,acousticness,speechiness + acousticness,0.6908783783783784,986
jazz / pop / rock,danceability,acousticness,danceability + acousticness,0.6908783783783784,986
jazz / pop / rock,energy,valence,energy + valence,0.6875,986
jazz / pop / rock,energy,liveness,energy + liveness,0.6858108108108109,986
jazz / pop / rock,acousticness,liveness,acousticness + liveness,0.6790540540540541,986
jazz / pop / rock,energy,acousticness,energy + acousticness,0.6706081081081081,986
jazz / pop / rock,energy,instrumentalness,energy + instrumentalness,0.6706081081081081,986
jazz / pop / rock,acousticness,valence,acousticness + valence,0.668918918918919,986
jazz / pop / rock,acousticness,instrumentalness,acousticness + instrumentalness,0.6655405405405406,986
jazz / pop / rock,energy,speechiness,energy + speechiness,0.6537162162162162,986
jazz / pop / rock,danceability,liveness,danceability + liveness,0.625,986
jazz / pop / rock,danceability,speechiness,danceability + speechiness,0.6233108108108109,986
jazz / pop / rock,danceability,instrumentalness,danceability + instrumentalness,0.6216216216216216,986
jazz / pop / rock,speechiness,instrumentalness,speechiness + instrumentalness,0.6199324324324325,986
jazz / pop / rock,danceability,valence,danceability + valence,0.6097972972972973,986
jazz / pop / rock,instrumentalness,liveness,instrumentalness + liveness,0.5929054054054054,986
jazz / pop / rock,speechiness,liveness,speechiness + liveness,0.5878378378378378,986
jazz / pop / rock,instrumentalness,valence,instrumentalness + valence,0.5743243243243243,986
jazz / pop / rock,liveness,valence,liveness + valence,0.5574324324324325,986
jazz / pop / rock,speechiness,valence,speechiness + valence,0.5472972972972973,986
