track_id,artists,track_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track_genre
6Bxxx5ky6qiTCGH3i85Bkw,Pyotr Ilyich Tchaikovsky;phil Blech Wien;Anton Mittermayr;Wiener Sängerknaben,"Der Nussknacker, Op. 71: Schneeflockenwalzer",0.39,0.248,0.0411,0.986,0.92,0.104,0.15,classical
1xjO1qiSWdRoK4TXIR6PeJ,Bhimsen Joshi,Majhe Maher Pandhari,0.454,0.388,0.0455,0.919,0.00106,0.0806,0.672,classical
3DkhCqiBjGSZqeBqo0yd1r,Sirkazhi Govindarajan,Kaakum Kadavul,0.517,0.713,0.0614,0.607,9.81e-06,0.145,0.8,classical
0Nlbz6Etm3bWe4OCYJ44hi,Wolfgang Amadeus Mozart;Danielle Laval,"12 Variations on a Minuet by J.C. Fischer in C, K.179: 13. Variation XII",0.268,0.216,0.0374,0.986,0.813,0.124,0.845,classical
1QBDI0pYOFgskhDI0C7tKh,Wolfgang Amadeus Mozart;Danielle Laval,"8 Variations on ‘Ein Weib ist das herrlichste Ding’ by B. Schack in F, K.613: 4. Variation III",0.215,0.0904,0.0448,0.992,0.892,0.123,0.465,classical
6b3pQUwEfy9yOaPtrP9vXS,Wolfgang Amadeus Mozart;Academy of Ancient Music;Christopher Hogwood,Symphony in D Major K. 135: 3. Molto allegro,0.436,0.362,0.0363,0.907,0.864,0.344,0.709,classical
5JEyr135t1qMJioNg7fy5s,Edvard Grieg;Dietrich Fischer-Dieskau;Hartmut Höll,"Fem digte, Op. 26: No. 5, Herbststimmung",0.357,0.0147,0.0479,0.985,0.000447,0.0584,0.11,classical
4yNdgz1fkB7vF6XPZgdEp1,Wolfgang Amadeus Mozart;Mao Fujita,"Piano Sonata No. 18 in D Major, K. 576 ""Hunt"": II. Adagio",0.325,0.0735,0.0506,0.991,0.929,0.0804,0.213,classical
77Muh1dgaxUOU8CxmWmihb,Wolfgang Amadeus Mozart;Members of the Netherlands Wind Ensemble,"Don Giovanni, K.527 / Act 1: ""Madamina, il catalogo è questo""",0.511,0.143,0.0377,0.985,0.814,0.111,0.396,classical
338LGOoJjyCNI1cTJjud48,Wolfgang Amadeus Mozart;Scottish Chamber Orchestra;Sir Charles Mackerras,"La clemenza di Tito, K.621 / Act 1: Marcia - Reprise",0.611,0.267,0.0469,0.91,0.862,0.106,0.585,classical
2apYPJ1hp446VmnrBjzFNn,Wolfgang Amadeus Mozart;Holliger Wind Ensemble,"Adagio in F, K.410",0.156,0.0173,0.041,0.996,0.884,0.0719,0.144,classical
6JoMhlsYqtzwBCVZaEdO6j,Christoph Willibald Gluck;Karlheinz Zoeller;Berliner Philharmoniker;Herbert von Karajan,Orfeo Ed Euridice: Dance of the Blessed Spirits (Act II),0.201,0.0659,0.0521,0.972,0.931,0.0551,0.089,classical
1OpwniSqFhbMeEPvnqjIgb,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,"Contredanse in G, K.610 ""Les filles malicieuses""",0.538,0.107,0.0429,0.987,0.82,0.0962,0.415,classical
4mfxg4RzHqBAmIaXy9iYxJ,Rahul Deshpande,Radhadhar Madhu Milind,0.506,0.713,0.0515,0.17,0.0,0.206,0.384,classical
7sCEGVDNPistGb4I1DbGGe,Luke Howard;Jess Gillam;Jess Gillam Ensemble,Dappled Light,0.222,0.0456,0.0385,0.993,0.964,0.231,0.0882,classical
7aRbNtrDwkJh8THFGUAD0A,Franz Schubert;Burak Çebi,Piano Sonata D. 960 in B-Flat Major: I. Allegro moderato,0.412,0.0313,0.0454,0.991,0.899,0.0735,0.0387,classical
4GaTyDp4257sMSNbNXIlMW,Bombay Jayashri,Mamta Se Bhari,0.63,0.414,0.0291,0.615,0.000329,0.162,0.394,classical
1ldgvhH6LICt9ZPIkMVhlP,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,"Sonata for Piano and Violin in E flat, K.481: 3g. Variation 6",0.681,0.22,0.0601,0.983,0.9,0.133,0.892,classical
26Dme5GkC1yX4P2QU9V6Sk,Sergei Rachmaninoff;Talistrio,"Trio élégiaque No. 2 in D Minor, Op. 9: I. Moderato - Allegro vivace",0.175,0.0869,0.0427,0.955,0.251,0.0783,0.0345,classical
2C3CAfuNnP3c9Uz3Zxixkx,Bhimsen Joshi,Maze Maaher Pandhari - Pandit Bhimsen Joshi,0.447,0.418,0.0427,0.848,2.12e-05,0.0645,0.706,classical
3weNRklVDqb4Rr5MhKBR3D,Ludovico Einaudi,Nuvole Bianche,0.191,0.0582,0.0578,0.961,0.89,0.0941,0.0454,classical
4Pam4BT3FYZwoWcOLaYodV,DragonForce,Fury Of The Storm,0.233,0.911,0.08,3.34e-05,0.258,0.344,0.197,classical
3LmYMHpOQaZ8YvgPrXtYJu,Antônio Carlos Jobim,Triste,0.568,0.396,0.029,0.738,0.159,0.116,0.578,classical
7xy6iBI17hwVjGXF7vq5Ib,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields Chamber Ensemble,"String Quintet No.1 in B flat, K.174 - Two original movements: 3. Trio",0.325,0.103,0.0417,0.963,0.43,0.335,0.655,classical
1qA5fKKy34e2nGMbaDk71q,Wolfgang Amadeus Mozart,"Pa, Pa, Pa - From ""The Magic Flute"" Soundtrack",0.614,0.276,0.0511,0.838,2.55e-06,0.0921,0.649,classical
5xB3CivlPbklikLXfOZl13,Wolfgang Amadeus Mozart;RIAS Symphony Orchestra Berlin;Ferenc Fricsay,"Symphony No. 5 In B Flat Major, K.22: 3. Allegro molto",0.386,0.372,0.0345,0.827,0.749,0.0876,0.948,classical
2zo5WMrYU7MJCmZUxUKOwu,Bombay Sisters,Lakshmi Ashtakam,0.56,0.281,0.0818,0.824,0.0,0.229,0.344,classical
7gG0Utr8guYo556tF4QRcz,Wolfgang Amadeus Mozart;Ingrid Haebler,"Piano Sonata No. 7 in C Major, K. 309: III. Rondeau (Allegretto grazioso)",0.426,0.168,0.0426,0.993,0.905,0.13,0.517,classical
18RagF4mZ36dUdkyhVWWRE,Lalgudi G. Jayaraman,Innam En Manam - Charukesi - Adi,0.663,0.484,0.068,0.776,0.0,0.135,0.764,classical
35Krmwgrk5mTqD0mptXlU5,Bombay Jayashri,Unakkul Naane,0.701,0.559,0.0537,0.752,0.00077,0.0935,0.542,classical
2WdqL8OHTKV7NA9zfeTsFq,Andrea Bocelli,El Abeto,0.358,0.233,0.0305,0.884,2.8e-06,0.0838,0.167,classical
6AmnZSOx2DU4Eb6Ce2KHoR,Wolfgang Amadeus Mozart;Franz Schessl;Andreas Röhn;Yang Wen Sinn,"Canon in C, K.508A",0.375,0.226,0.0486,0.986,0.652,0.0886,0.857,classical
0G4jEryDZ7hp5tN6lSjOwW,Wolfgang Amadeus Mozart;Danielle Laval,"8 Variations on ‘Come un agnello’ by Sarti in A, K.460: 4. Variation III",0.445,0.126,0.0358,0.984,0.906,0.155,0.534,classical
7mOGLFitvkIyK6xix2xo1m,Wolfgang Amadeus Mozart;Ingrid Haebler;Ludwig Hoffmann,"Sonata for Piano 4 Hands in C Major, K. 19d: III. Rondo (Allegretto)",0.457,0.0888,0.051,0.992,0.917,0.131,0.391,classical
3Bh4cdwJOL0wL6nuJBbXDD,Wolfgang Amadeus Mozart;Jan Lisiecki,"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265/300e: Var. 9",0.5,0.0503,0.0541,0.991,0.928,0.0956,0.432,classical
1M6g7BTBFCIuzOx7xgBv8D,Giuseppe Verdi;Vincenzo Ciliberti,Attila - Che più s'indugia,0.318,0.318,0.0346,0.929,6.5e-05,0.201,0.216,classical
2jd7MUx3tgb88h31NKy9iV,Arcangelo Corelli;Cet étrange éclat,"Sonate, Op. 5: I. Adagio",0.126,0.0499,0.0393,0.648,0.887,0.141,0.115,classical
0Yg3f6Ch8suogGGblasukI,Franz Liszt;Una Bourne,"Paraphrase de concert sur Rigoletto, S. 434 (After Giuseppe Verdi)",0.343,0.334,0.04,0.977,0.272,0.343,0.266,classical
0G8hno6jivjQvhaoJfR5qK,Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich,"The Nutcracker (Suite), Op. 71a, TH. 35: IIf. Dance of the Reed-Pipes (Mirlitons)",0.45,0.0485,0.038,0.972,0.911,0.172,0.316,classical
29x9jxkl6ESKOdxETtbMwT,Antonio Vivaldi;Renato Fasano;Luigi Ferro;I virtuosi di Roma,"Violin Concerto No. 3 in F Major, RV 293 ""Autumn"": II. Largo",0.344,0.0258,0.0392,0.637,0.322,0.0845,0.0355,classical
3rLobQ54GYexb7HyFZS8J0,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,"Six German Dances, K.509: No. 1 in C",0.413,0.0509,0.0375,0.965,0.902,0.24,0.514,classical
48i1p3R9l9f7zjcHPJysZZ,Ludovico Einaudi,Wind Song,0.339,0.00572,0.0378,0.986,0.923,0.103,0.0616,classical
0z05FBfutzwzXeFyKttHtw,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,"Ballet Intermezzo, K.299c (Sketches compl. & orch. E. Smith): 1. (Allegro)",0.56,0.233,0.0487,0.991,0.939,0.0922,0.788,classical
1BqC5UsD8DH1LbZBqnzRSd,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,"Sonata for Piano and Violin in E flat, K.481: 3b. Variation 1",0.365,0.136,0.0502,0.984,0.473,0.163,0.546,classical
2oGCF7bqdm78ERoKVUp7LT,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,"12 German Dances, K. 586: No. 2 in G Major",0.464,0.125,0.0693,0.919,0.13,0.284,0.813,classical
6VaZ84jVkpCXUf5IFXcW2K,Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",0.138,0.173,0.0371,0.955,0.928,0.161,0.159,classical
7eLOzWaZQ6nwC0hzkyAecf,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,"The London Sketchbook, K. 15a-ss (arr. and/or orch. E. Smith) - Three Contredanses: in F, K.33B (added by E. Smith)",0.432,0.0223,0.0555,0.983,0.875,0.178,0.921,classical
1VNvsvEsUpuUCbHpVop1vo,Frédéric Chopin;Daniel Barenboim,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",0.442,0.00919,0.047,0.984,0.936,0.0873,0.0929,classical
1AtQADEKh6HZ8zYsPlzJJ8,Wolfgang Amadeus Mozart;Gürzenich Orchestra Köln;Günter Wand,"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": 2d. Romance (Andante) - Pt. 4",0.233,0.0932,0.0375,0.954,0.237,0.354,0.194,classical
28TQwZIFU4z0G9IATfZhvI,Mambalam Sisters,Sri Lakshmi Ashtakam,0.447,0.31,0.039,0.949,0.0,0.141,0.288,classical
4mEvW4l23nEOW47gGJ0izf,M. S. Subbulakshmi;Radha Viswanathan,Kanakadharashtavam - Ms Subbulakshmi,0.575,0.326,0.0812,0.971,0.0,0.38,0.324,classical
1Rnc5yUosXzrVkKSW3pa9Y,Wolfgang Amadeus Mozart;Bernhard Paumgartner;Camerata Salzburg,"Symphony No. 30 in D Major, K. 202: IV. Presto",0.494,0.252,0.0505,0.983,0.939,0.114,0.347,classical
48AAhCg91UjUhFZ17sNcSD,Ludwig van Beethoven;Anne-Sophie Mutter;Yo-Yo Ma;Daniel Barenboim;West-Eastern Divan Orchestra,"Triple Concerto in C Major, Op. 56: III. Rondo alla Polacca - Live at Philharmonie, Berlin / 2019",0.367,0.302,0.0414,0.846,0.679,0.0729,0.356,classical
